address,area,city_province,district,front_road_width,interior,latitude,legal,longitude,n_bathrooms,n_bedrooms,n_floors,price,property_type,source,has_interior_info,price_per_m2
"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",75.0,Hồ Chí Minh,Quận 2,0.0,Nội thất đầy đủ,10.8024409479185,Sổ riêng,106.741949677425,2.0,2.0,2.0,7.7,Chung cư,batdongsancomvn,1,102.66666666666667
"Phúc Lợi, Phúc Lợi, Long Biên, Hà Nội",72.0,Hà Nội,Long Biên,6.1,Nội thất đầy đủ,21.0388321765065,Sổ riêng,105.934539129008,6.0,6.0,6.0,15.8,Nhà riêng,batdongsancomvn,1,219.44444444444446
"Phường 12, Đà Lạt, Lâm Đồng",102.3,Lâm Đồng,Đà Lạt,5.0,Nội thất đầy đủ,11.9738934221653,Sổ riêng,108.484595388158,1.0,2.0,2.0,7.5,Nhà riêng,batdongsancomvn,1,73.31378299120234
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",60.9,Hồ Chí Minh,Gò Vấp,4.35,Nội thất cơ bản,10.8496541233261,Sổ riêng,106.65122176577,2.0,2.0,1.0,6.6,Nhà riêng,batdongsancomvn,1,108.37438423645321
"Đường Đồng Me, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",148.0,Hà Nội,Nam Từ Liêm,6.5,Nội thất đầy đủ,21.0119178408982,Sổ riêng,105.776274747928,41.0,41.0,10.0,59.0,Nhà riêng,batdongsancomvn,1,398.64864864864865
"Hẻm 66/26K, Đường Xô Viết Nghệ Tĩnh, Phường 21, Bình Thạnh, Hồ Chí Minh",47.0,Hồ Chí Minh,Bình Thạnh,3.5,Nội thất cơ bản,10.7978706159862,Sổ riêng,106.710850033015,2.0,2.0,2.0,5.2,Nhà riêng,batdongsancomvn,1,110.63829787234043
"Phố Ngọc Khánh, Phường Giảng Võ, Ba Đình, Hà Nội",50.0,Hà Nội,Ba Đình,5.5,Nội thất đầy đủ,21.0257385141675,Sổ riêng,105.818376836457,4.0,4.0,4.0,11.8,Nhà riêng,batdongsancomvn,1,236.0
"Đường Nguyễn Văn Hoa, Phường Thống Nhất, Biên Hòa, Đồng Nai",63.4,Đồng Nai,Biên Hòa,5.0,Nội thất đầy đủ,10.9532242843691,Sổ riêng,106.83859300108,3.0,3.0,3.0,4.9,Nhà riêng,batdongsancomvn,1,77.28706624605678
"Đường Lý Phục Man, Phường Bình Thuận, Quận 7, Hồ Chí Minh",48.0,Hồ Chí Minh,Quận 7,5.0,Nội thất đầy đủ,10.743099835756,Sổ riêng,106.725904201891,4.0,4.0,4.0,10.5,Nhà riêng,batdongsancomvn,1,218.75
"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",30.0,Hà Nội,Long Biên,4.2,Nội thất đầy đủ,21.0377618509899,Sổ riêng,105.871949591412,3.0,2.0,4.0,7.89,Nhà riêng,batdongsancomvn,1,263.0
"Đường Tây Lân, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",40.5,Hồ Chí Minh,Bình Tân,6.0,Nội thất cơ bản,10.7716902237683,Sổ riêng,106.586703850689,3.0,4.0,5.0,6.5,Nhà riêng,batdongsancomvn,1,160.49382716049382
"Đường D4, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",90.0,Hồ Chí Minh,Quận 7,5.0,Nội thất đầy đủ,10.702616858751,Sổ riêng,106.728763834075,5.0,4.0,4.0,17.9,Nhà riêng,batdongsancomvn,1,198.88888888888889
"230/38/8 Đường Phan Văn Trị, Phường 12, Bình Thạnh, Hồ Chí Minh",58.0,Hồ Chí Minh,Bình Thạnh,4.5,Nội thất đầy đủ,10.8120687929607,Sổ riêng,106.695570496239,10.0,9.0,6.0,10.4,Nhà riêng,batdongsancomvn,1,179.31034482758622
"Đường Nguyễn Văn Khạ, Thị trấn Củ Chi, Củ Chi, Hồ Chí Minh",100.0,Hồ Chí Minh,Củ Chi,5.0,Không nội thất,10.9772251577164,Sổ riêng,106.491281574874,2.0,2.0,1.0,3.5,Nhà riêng,batdongsancomvn,1,35.0
"Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh",50.8,Hồ Chí Minh,Gò Vấp,4.55,Nội thất đầy đủ,10.8330970219701,Sổ riêng,106.672756970815,5.0,5.0,4.0,8.6,Nhà riêng,batdongsancomvn,1,169.29133858267718
"Đường Đội Cấn, Phường Ngọc Hà, Ba Đình, Hà Nội",53.0,Hà Nội,Ba Đình,5.5,Nội thất đầy đủ,21.0352405137248,Sổ riêng,105.822955009317,4.0,4.0,6.0,11.69,Nhà riêng,batdongsancomvn,1,220.56603773584905
"Đường Nguyễn Bặc, Phường 3, Tân Bình, Hồ Chí Minh",97.0,Hồ Chí Minh,Tân Bình,4.2,,10.7951129989278,Sổ riêng,106.662053544577,2.0,2.0,2.0,16.5,Nhà riêng,batdongsancomvn,0,170.10309278350516
"Đường Hương Lộ 3, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",204.4,Hồ Chí Minh,Bình Tân,12.0,Nội thất đầy đủ,10.7984600686491,Sổ riêng,106.612434282849,2.0,2.0,2.0,10.8,Nhà riêng,batdongsancomvn,1,52.83757338551859
"Đường Thạnh Lộc 19, Phường An Phú Đông, Quận 12, Hồ Chí Minh",53.4,Hồ Chí Minh,Quận 12,4.0,Nội thất đầy đủ,10.8708533089449,Sổ riêng,106.685473045173,4.0,4.0,4.0,6.95,Nhà riêng,batdongsancomvn,1,130.1498127340824
"Phố Vũ Ngọc Phan, Phường Láng Hạ, Đống Đa, Hà Nội",90.0,Hà Nội,Đống Đa,5.0,,21.0143889380353,Sổ riêng,105.810674102728,19.0,18.0,8.0,41.8,Nhà riêng,batdongsancomvn,0,464.44444444444446
"Phố Thái Hà, Phường Láng Hạ, Đống Đa, Hà Nội",70.0,Hà Nội,Đống Đa,7.0,Nội thất đầy đủ,21.014747663492,Sổ riêng,105.81774191565,22.0,21.0,9.0,36.0,Nhà riêng,batdongsancomvn,1,514.2857142857143
