address,area,city_province,district,front_width,interior,latitude,legal,longitude,n_bathrooms,n_bedrooms,n_floors,price,property_type,source,price_per_m2,log_price,log_price_per_m2,is_apartment,is_house,is_villa,has_interior_info,interior_score,legal_score,address_norm
"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",75.0,Hồ Chí Minh,Quận 2,0.0,Nội thất đầy đủ,10.8024409479185,Sổ riêng,106.741949677425,2.0,2.0,1.0,7.7,Chung cư,batdongsancomvn,102.66666666666667,2.1633230256605382,4.641180623511125,1,0,0,1,2.0,4,du an masteri thao dien duong xa lo ha noi phuong thao dien quan 2 ho chi minh
"Phúc Lợi, Phúc Lợi, Long Biên, Hà Nội",72.0,Hà Nội,Long Biên,6.1,Nội thất đầy đủ,21.0388321765065,Sổ riêng,105.934539129008,6.0,6.0,6.0,15.8,Nhà riêng,batdongsancomvn,219.44444444444446,2.8213788864092133,5.395645710508599,0,1,0,1,2.0,4,phuc loi phuc loi long bien ha noi
"Phường 12, Đà Lạt, Lâm Đồng",102.3,Lâm Đồng,Đà Lạt,5.0,Nội thất đầy đủ,11.9738934221653,Sổ riêng,108.484595388158,1.0,2.0,2.0,7.5,Nhà riêng,batdongsancomvn,73.31378299120234,2.1400661634962708,4.308296439112089,0,1,0,1,2.0,4,phuong 12 da lat lam dong
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",60.9,Hồ Chí Minh,Gò Vấp,4.35,Nội thất cơ bản,10.8496541233261,Sổ riêng,106.65122176577,2.0,2.0,1.0,6.6,Nhà riêng,batdongsancomvn,108.37438423645321,2.028148247292285,4.694776714823789,0,1,0,1,1.0,4,duong pham van chieu phuong 9 go vap ho chi minh
"Đường Đồng Me, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",148.0,Hà Nội,Nam Từ Liêm,6.5,Nội thất đầy đủ,21.0119178408982,Sổ riêng,105.776274747928,41.0,41.0,10.0,59.0,Nhà riêng,batdongsancomvn,398.64864864864865,4.0943445622221,5.990585782729263,0,1,0,1,2.0,4,duong dong me phuong me tri nam tu liem ha noi
"Hẻm 66/26K, Đường Xô Viết Nghệ Tĩnh, Phường 21, Bình Thạnh, Hồ Chí Minh",47.0,Hồ Chí Minh,Bình Thạnh,3.5,Nội thất cơ bản,10.7978706159862,Sổ riêng,106.710850033015,2.0,2.0,2.0,5.2,Nhà riêng,batdongsancomvn,110.63829787234043,1.824549292051046,4.715264161976653,0,1,0,1,1.0,4,hem 66 26k duong xo viet nghe tinh phuong 21 binh thanh ho chi minh
"Phố Ngọc Khánh, Phường Giảng Võ, Ba Đình, Hà Nội",50.0,Hà Nội,Ba Đình,5.5,Nội thất đầy đủ,21.0257385141675,Sổ riêng,105.818376836457,4.0,4.0,4.0,11.8,Nhà riêng,batdongsancomvn,236.0,2.5494451709255714,5.4680601411351315,0,1,0,1,2.0,4,pho ngoc khanh phuong giang vo ba dinh ha noi
"Đường Nguyễn Văn Hoa, Phường Thống Nhất, Biên Hòa, Đồng Nai",63.4,Đồng Nai,Biên Hòa,5.0,Nội thất đầy đủ,10.9532242843691,Sổ riêng,106.83859300108,3.0,3.0,3.0,4.9,Nhà riêng,batdongsancomvn,77.28706624605678,1.7749523509116738,4.360382407310004,0,1,0,1,2.0,4,duong nguyen van hoa phuong thong nhat bien hoa dong nai
"Đường Lý Phục Man, Phường Bình Thuận, Quận 7, Hồ Chí Minh",48.0,Hồ Chí Minh,Quận 7,5.0,Nội thất đầy đủ,10.743099835756,Sổ riêng,106.725904201891,4.0,4.0,4.0,10.5,Nhà riêng,batdongsancomvn,218.75,2.4423470353692043,5.392490536565286,0,1,0,1,2.0,4,duong ly phuc man phuong binh thuan quan 7 ho chi minh
"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",30.0,Hà Nội,Long Biên,4.2,Nội thất đầy đủ,21.0377618509899,Sổ riêng,105.871949591412,3.0,2.0,4.0,7.89,Nhà riêng,batdongsancomvn,263.0,2.1849270495258133,5.575949103146316,0,1,0,1,2.0,4,duong bo de phuong bo de long bien ha noi
"Đường Tây Lân, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",40.5,Hồ Chí Minh,Bình Tân,6.0,Nội thất cơ bản,10.7716902237683,Sổ riêng,106.586703850689,3.0,4.0,5.0,6.5,Nhà riêng,batdongsancomvn,160.49382716049382,2.0149030205422647,5.084466920015788,0,1,0,1,1.0,4,duong tay lan phuong binh hung hoa a binh tan ho chi minh
"Đường D4, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",90.0,Hồ Chí Minh,Quận 7,5.0,Nội thất đầy đủ,10.702616858751,Sổ riêng,106.728763834075,5.0,4.0,4.0,17.9,Nhà riêng,batdongsancomvn,198.88888888888889,2.9391619220655967,5.2977616566143135,0,1,0,1,2.0,4,duong d4 phuong phu my quan 7 ho chi minh
"230/38/8 Đường Phan Văn Trị, Phường 12, Bình Thạnh, Hồ Chí Minh",58.0,Hồ Chí Minh,Bình Thạnh,4.5,Nội thất đầy đủ,10.8120687929607,Sổ riêng,106.695570496239,10.0,9.0,6.0,10.4,Nhà riêng,batdongsancomvn,179.31034482758622,2.4336133554004498,5.194679504201656,0,1,0,1,2.0,4,230 38 8 duong phan van tri phuong 12 binh thanh ho chi minh
"Đường Nguyễn Văn Khạ, Thị trấn Củ Chi, Củ Chi, Hồ Chí Minh",100.0,Hồ Chí Minh,Củ Chi,5.0,Không nội thất,10.9772251577164,Sổ riêng,106.491281574874,2.0,2.0,1.0,3.5,Nhà riêng,batdongsancomvn,35.0,1.5040773967762742,3.58351893845611,0,1,0,1,0.0,4,duong nguyen van kha thi tran cu chi cu chi ho chi minh
"Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh",50.8,Hồ Chí Minh,Gò Vấp,4.55,Nội thất đầy đủ,10.8330970219701,Sổ riêng,106.672756970815,5.0,5.0,4.0,8.6,Nhà riêng,batdongsancomvn,169.29133858267718,2.2617630984737906,5.137510726614098,0,1,0,1,2.0,4,duong phan van tri phuong 10 go vap ho chi minh
"Đường Đội Cấn, Phường Ngọc Hà, Ba Đình, Hà Nội",53.0,Hà Nội,Ba Đình,5.5,Nội thất đầy đủ,21.0352405137248,Sổ riêng,105.822955009317,4.0,4.0,6.0,11.69,Nhà riêng,batdongsancomvn,220.56603773584905,2.540814281726296,5.400720683812959,0,1,0,1,2.0,4,duong doi can phuong ngoc ha ba dinh ha noi
"Đường Nguyễn Bặc, Phường 3, Tân Bình, Hồ Chí Minh",97.0,Hồ Chí Minh,Tân Bình,4.2,,10.7951129989278,Sổ riêng,106.662053544577,2.0,2.0,2.0,16.5,Nhà riêng,batdongsancomvn,170.10309278350516,2.8622008809294686,5.142266256617336,0,1,0,0,,4,duong nguyen bac phuong 3 tan binh ho chi minh
"Đường Hương Lộ 3, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",204.4,Hồ Chí Minh,Bình Tân,12.0,Nội thất đầy đủ,10.7984600686491,Sổ riêng,106.612434282849,2.0,2.0,2.0,10.8,Nhà riêng,batdongsancomvn,52.83757338551859,2.468099531471619,3.985971613472285,0,1,0,1,2.0,4,duong huong lo 3 phuong binh hung hoa binh tan ho chi minh
