property_type,price,area,n_bedrooms,n_bathrooms,n_floors,address,city_province,district,legal,front_road_width,latitude,longitude
Nhà mặt tiền,48.0,65.0,0,0,4,"Đường Nguyễn Trãi, Phường 7, Quận 5, TP.HCM",TP.HCM,Quận 5,Sổ hồng,4.0,10.7558252,106.6683021
Nhà hẻm ngõ,8.2,105.0,6,6,2,"1234, Đường Huỳnh Tấn phát, Phường Tân Phú, Quận 7, TP.HCM",TP.HCM,Quận 7,Sổ hồng,4.6,10.7375669,106.7296597
Biệt thự,300.0,1100.0,8,10,3,"105, Đường Trần Văn Kiểu, Phường 10, Quận 6, TP.HCM",TP.HCM,Quận 6,Sổ hồng,20.0,10.7458901,106.6391994
Nhà mặt tiền,0.89,60.0,3,3,0,"Đường Đoàn Nguyễn Tuấn, Xã Hưng Long, Huyện Bình Chánh, TP.HCM",TP.HCM,Huyện Bình Chánh,Sổ hồng,4.0,10.6950833,106.5909297
Nhà mặt tiền,40.0,140.0,8,8,3,"Đường 3 Tháng 2, Phường 14, Quận 10, TP.HCM",TP.HCM,Quận 10,Sổ hồng,7.5,10.7725282,106.6682021
Nhà hẻm ngõ,3.8,29.0,2,0,0,"Hẻm 11/9, Đường Trần Văn Đang, Phường 9, Quận 3, TP.HCM",TP.HCM,Quận 3,Sổ hồng,,10.7788914,106.6869967
Nhà hẻm ngõ,2.98,24.0,2,2,0,"87/12/4, Đường 27, Phường 6, Quận Gò Vấp, TP.HCM",TP.HCM,Quận Gò Vấp,Sổ hồng,,10.8352617,106.6740588
Nhà mặt tiền,42.0,64.0,4,3,3,"Đường Nguyễn Thái Học, Phường Cầu Ông Lãnh, Quận 1, TP.HCM",TP.HCM,Quận 1,Sổ hồng,4.0,10.7753939,106.6996249
Nhà mặt tiền,9.2,100.0,0,0,5,"440A, Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, TP.HCM",TP.HCM,Quận 12,Sổ hồng,,10.8612653,106.6642083
Nhà mặt tiền,8.6,48.0,4,5,3,"69, Đường số 4, Phường 16, Quận Gò Vấp, TP.HCM",TP.HCM,Quận Gò Vấp,Sổ hồng,4.0,10.8352617,106.6740588
Nhà hẻm ngõ,11.8,79.0,0,0,0,"513/60, Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,4.0,10.8030931,106.6523519
Nhà mặt tiền,12.8,47.0,0,0,5,"16, Đường Nguyễn Bá Tòng, Phường Tân Thành, Quận Tân Phú, TP.HCM",TP.HCM,Quận Tân Phú,Sổ hồng,4.1,10.7918681,106.6277515
Nhà hẻm ngõ,8.69,42.0,4,4,3,"432/3, Đường Lê Văn Sỹ, Phường 2, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,,10.8030931,106.6523519
Nhà mặt tiền,,40.0,0,0,2,"Đường Nguyễn Công Trứ, Phường 19, Quận Bình Thạnh, TP.HCM",TP.HCM,Quận Bình Thạnh,Sổ đỏ,,10.812271,106.7040393
Nhà hẻm ngõ,2.2,85.0,3,3,0,"Đường Cây Cám, Phường Bình Hưng Hòa B, Quận Bình Tân, TP.HCM",TP.HCM,Quận Bình Tân,Giấy tờ hợp lệ,5.0,10.7704159,106.5995401
Nhà mặt tiền,0.68,120.0,3,2,1,"Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, TP.HCM",TP.HCM,Huyện Bình Chánh,Sổ hồng,6.0,10.6950833,106.5909297
Nhà mặt tiền,0.7,98.0,3,2,0,"Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, TP.HCM",TP.HCM,Huyện Bình Chánh,Sổ hồng,5.1,10.6950833,106.5909297
Nhà mặt tiền,1.25,100.0,3,3,0,"Đường Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, TP.HCM",TP.HCM,Huyện Bình Chánh,Sổ hồng,5.0,10.6950833,106.5909297
Nhà mặt tiền,2.111,500.0,0,0,0,"Đường Thi Sách, Phường Bến Nghé, Quận 1, TP.HCM",TP.HCM,Quận 1,Sổ hồng,25.0,10.7753939,106.6996249
Nhà hẻm ngõ,8.1,68.0,3,3,3,"Đường Đồng Đen, Phường 14, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,4.0,10.8030931,106.6523519
Nhà mặt tiền,5.5,46.0,3,3,2,"228, Đường Bình Quới, Phường 28, Quận Bình Thạnh, TP.HCM",TP.HCM,Quận Bình Thạnh,Sổ hồng,,10.812271,106.7040393
Nhà hẻm ngõ,7.8,56.0,5,6,0,"Phường Bình Trị Đông, Quận Bình Tân, TP.HCM",TP.HCM,Quận Bình Tân,Sổ hồng,,10.7704159,106.5995401
Nhà hẻm ngõ,10.5,73.0,5,4,4,"Đường Tân Trụ, Phường 15, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,,10.8030931,106.6523519
Nhà mặt tiền,1.29,72.0,5,6,0,"Phường Bình Trị Đông, Quận Bình Tân, TP.HCM",TP.HCM,Quận Bình Tân,Sổ hồng,,10.7704159,106.5995401
Nhà hẻm ngõ,30.0,67.5,20,21,7,"67/1, Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, TP.HCM",TP.HCM,Quận Gò Vấp,Sổ hồng,4.5,10.8352617,106.6740588
Nhà mặt tiền,22.9,69.0,6,6,7,"Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, TP.HCM",TP.HCM,Quận Gò Vấp,Sổ hồng,4.0,10.8352617,106.6740588
Nhà hẻm ngõ,15.5,60.0,0,0,0,"Đường 22, Phường 15, Quận 11, TP.HCM",TP.HCM,Quận 11,Giấy tờ hợp lệ,,10.7656343,106.647607
Nhà mặt tiền,55.0,100.0,24,0,7,"Đường Phan Đình Phùng, Phường 2, Quận Phú Nhuận, TP.HCM",TP.HCM,Quận Phú Nhuận,Sổ đỏ,4.0,10.8010601,106.6798946
Nhà hẻm ngõ,4.95,124.3,2,1,0,"Đường Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TP.HCM",TP.HCM,Huyện Nhà Bè,Sổ hồng,4.8,10.6509356,106.7259486
Nhà mặt tiền,19.6,60.2,0,0,4,"136, Đường Âu Dương Lân, Phường 3, Quận 8, TP.HCM",TP.HCM,Quận 8,Sổ hồng,4.2,10.7211158,106.6292079
Nhà mặt tiền,5.7,48.0,2,2,2,"Đường Âu Cơ, Phường 11, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,4.0,10.8030931,106.6523519
Nhà hẻm ngõ,19.9,328.0,52,52,3,"Đường Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, TP.HCM",TP.HCM,Quận Bình Tân,Sổ hồng,9.5,10.7704159,106.5995401
