property_type,price,area,n_bedrooms,n_bathrooms,n_floors,legal,interior,facing_direction,balcony_direction,front_width,front_road_width,title,latitude,longitude,verified,location,location_details,date_of_posting,url
Căn hộ chung cư,"7,7 tỷ",75 m²,2 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Bắc,Nam,,,"Bán căn hộ 2PN tháp T5 dự án Masteri Thảo Điền, hỗ trợ vay 80%. LH 0936 721 *** Mr. Hoài",10.8024409479185,106.741949677425,1,"Quận 2, Hồ Chí Minh","Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",16/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/ban-2pn-thap-t5-du-an-tro-vay-80-lh-mr-ai-pr44175404
Nhà riêng,"15,8 tỷ",72 m²,6 phòng,6 phòng,6 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,"6,1 m",5 m,"Bán nhà 6 tầng, thang máy gara 3 ô tô 72m² ngõ thông, Phúc Lợi, Long Biên 15.8 tỷ",21.0388321765065,105.934539129008,1,"Long Biên, Hà Nội","Phúc Lợi, Phúc Lợi, Long Biên, Hà Nội",13/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-phuc-loi-phuong-phuc-loi/ban-6-tang-thang-may-gara-3-o-to-72m-ngo-thong-long-bien-15-8-ty-pr44768408
Nhà riêng,"7,5 tỷ","102,3 m²",2 phòng,1 phòng,2 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Nam,,5 m,8 m,Bán nhà view trực diện Delight Park Đà Lạt không gian sống nghỉ dưỡng tuyệt đẹp,11.9738934221653,108.484595388158,1,"Đà Lạt, Lâm Đồng","Phường 12, Đà Lạt, Lâm Đồng",14/12/2025,https://batdongsan.com.vn/ban-nha-rieng-phuong-12_1/ban-view-khu-du-lich-da-lat-delight-park-rat-chill-tp-da-lat-lam-dong-7-5-ty-107m2-pr44381665
Nhà riêng,"6,6 tỷ","60,9 m²",2 phòng,2 phòng,1 tầng,Sổ đỏ/ Sổ hồng,Cơ bản,,,"4,35 m",6 m,"Nhà chính chủ Phạm Văn Chiêu- Hẻm 6m thông Lê Văn Thọ- Cây Trâm- Gần CV Làng Hoa DT 60,9m- giá 6tỷ6",10.8496541233261,106.65122176577,1,"Gò Vấp, Hồ Chí Minh","Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",13/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-chieu-phuong-9-11/-chinh-chu-hem-6m-thong-le-tho-cay-tram-gan-cv-lang-hoa-dt-60-9m-gia-6t6-pr44707861
Nhà riêng,59 tỷ,148 m²,41 phòng,41 phòng,10 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,"6,5 m",5 m,Siêu phẩm Đồng Me tòa 10 tầng 41 phòng full dòng tiền cực đỉnh chỉ 59 tỷ,21.0119178408982,105.776274747928,1,"Nam Từ Liêm, Hà Nội","Đường Đồng Me, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",12/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-dong-me-phuong-me-tri/sieu-pham-toa-10-tang-41-phong-full-tien-cuc-dinh-chi-59-ty-pr44780451
Nhà riêng,"5,2 tỷ",47 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,Cơ bản,,,"3,5 m",3 m,"Bán nhà hẻm 66/26K Xô Viết Nghệ Tĩnh, Bình Thạnh, sát Quận 1, nhà đẹp, vào ở ngay, 2PN 2WC",10.7978706159862,106.710850033015,1,"Bình Thạnh, Hồ Chí Minh","Hẻm 66/26K, Đường Xô Viết Nghệ Tĩnh, Phường 21, Bình Thạnh, Hồ Chí Minh",09/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-xo-viet-nghe-tinh-phuong-21/ban-hem-66-26k-binh-thanh-sat-quan-1-dep-vao-o-ngay-2pn-2wc-pr44685030
Nhà riêng,"11,8 tỷ",50 m²,4 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,,"Tin chuẩn 100%, nhà Ngọc Khánh thông Đê La Thành, ba gác quay đầu trước cửa, dân xây KCBT, 50m2*4T",21.0257385141675,105.818376836457,1,"Ba Đình, Hà Nội","Phố Ngọc Khánh, Phường Giảng Võ, Ba Đình, Hà Nội",17/12/2025,https://batdongsan.com.vn/ban-nha-rieng-pho-ngoc-khanh-phuong-giang-vo/tin-chuan-100-thong-de-la-thanh-ba-gac-quay-dau-truoc-cua-dan-xay-kcbt-50m-4t-pr44736515
Nhà riêng,"4,9 tỷ","63,4 m²",3 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Bắc,Bắc,5 m,5 m,"Chủ gởi bán nhà 1 trệt 2 lầu (hoàn công) vị trí ngay Văn Hoa Vila P. Thống Nhất. Giá chỉ 4,9 tỷ",10.9532242843691,106.83859300108,1,"Biên Hòa, Đồng Nai","Đường Nguyễn Văn Hoa, Phường Thống Nhất, Biên Hòa, Đồng Nai",08/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-hoa-phuong-thong-nhat-4/ban-pho-1-tret-2-lau-hoan-cong-vi-tri-ngay-nga-ba-may-cua-p-t-gia-chi-4-9-ty-pr44550384
Nhà riêng,"10,5 tỷ",48 m²,4 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,,,,"Cơ hội hiếm! Nhà đẹp Đường số Lý Phục Man, 3 lầu sổ hồng giá tốt 10,5 tỷ",10.743099835756,106.725904201891,1,"Quận 7, Hồ Chí Minh","Đường Lý Phục Man, Phường Bình Thuận, Quận 7, Hồ Chí Minh",16/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-ly-phuc-man-phuong-binh-thuan-3/co-hoi-hiem-dep-so-3-lau-so-hong-gia-tot-10-5-ty-pr44693673
Nhà riêng,"7,89 tỷ",30 m²,2 phòng,3 phòng,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,"4,2 m",3 m,"Chỉ 7,89 tỷ nhà TT Bồ Đề - ô tô đỗ cổng - 4T x 30m2 - dân xây - có ô chờ tm - có thể lên thêm tầng",21.0377618509899,105.871949591412,1,"Long Biên, Hà Nội","Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",15/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-bo-de-phuong-bo-de/chi-7-89-ty-tt-o-to-do-cong-4t-x-30m2-dan-xay-co-o-cho-tm-co-the-len-them-tang-pr44808434
